campaign_id,date,channel,customer_segment,product,age,gender,impressions,clicks,converted,total_cost,revenue,month,month_name,ctr,conversion_rate,roi,cost_per_click
CAMP00001,2024-01-01 00:00:00.000000000,Paid Social,Mid Value,Investment Fund,59,Male,2000,189,0,9.16,0.0,1,Jan,9.45,0.0,-100.0,0.05
CAMP00002,2024-01-01 01:45:08.461692338,SMS,Low Value,Personal Loan,41,Female,5000,1147,0,3.59,0.0,1,Jan,22.94,0.0,-100.0,0.0
CAMP00003,2024-01-01 03:30:16.923384676,Paid Search,New Customer,Insurance,44,Male,4000,763,0,14.4,0.0,1,Jan,19.08,0.0,-100.0,0.02
CAMP00004,2024-01-01 05:15:25.385077015,Paid Search,Mid Value,Savings Account,58,Male,5000,803,0,18.21,0.0,1,Jan,16.06,0.0,-100.0,0.02
CAMP00005,2024-01-01 07:00:33.846769353,Email,New Customer,Savings Account,29,Male,2000,500,0,1.03,0.0,1,Jan,25.0,0.0,-100.0,0.0
CAMP00006,2024-01-01 08:45:42.308461692,Email,High Value,Savings Account,58,Male,2000,492,0,1.09,0.0,1,Jan,24.6,0.0,-100.0,0.0
CAMP00007,2024-01-01 10:30:50.770154030,Email,New Customer,Credit Card,54,Male,4000,943,0,1.84,0.0,1,Jan,23.58,0.0,-100.0,0.0
CAMP00008,2024-01-01 12:15:59.231846369,Display,New Customer,Credit Card,54,Male,5000,142,0,5.47,0.0,1,Jan,2.84,0.0,-100.0,0.04
CAMP00009,2024-01-01 14:01:07.693538707,Paid Search,Mid Value,Savings Account,28,Male,3000,411,0,10.45,0.0,1,Jan,13.7,0.0,-100.0,0.03
CAMP00010,2024-01-01 15:46:16.155231046,Paid Search,Low Value,Investment Fund,43,Female,3000,342,0,11.0,0.0,1,Jan,11.4,0.0,-100.0,0.03
CAMP00011,2024-01-01 17:31:24.616923384,Email,Mid Value,Investment Fund,26,Male,5000,968,0,2.53,0.0,1,Jan,19.36,0.0,-100.0,0.0
CAMP00012,2024-01-01 19:16:33.078615723,SMS,New Customer,Credit Card,36,Female,3000,400,0,2.05,0.0,1,Jan,13.33,0.0,-100.0,0.01
CAMP00013,2024-01-01 21:01:41.540308061,Display,Low Value,Savings Account,42,Male,5000,250,0,6.5,0.0,1,Jan,5.0,0.0,-100.0,0.03
CAMP00014,2024-01-01 22:46:50.002000400,Email,Low Value,Investment Fund,46,Male,5000,1067,0,2.82,0.0,1,Jan,21.34,0.0,-100.0,0.0
CAMP00015,2024-01-02 00:31:58.463692738,Email,Mid Value,Credit Card,38,Male,2000,357,0,1.1,0.0,1,Jan,17.85,0.0,-100.0,0.0
CAMP00016,2024-01-02 02:17:06.925385077,Email,Mid Value,Savings Account,28,Female,1000,231,0,0.43,0.0,1,Jan,23.1,0.0,-100.0,0.0
CAMP00017,2024-01-02 04:02:15.387077415,Paid Social,High Value,Personal Loan,40,Male,2000,130,1,8.46,531.45,1,Jan,6.5,0.77,6181.91,0.07
CAMP00018,2024-01-02 05:47:23.848769753,Paid Social,Mid Value,Savings Account,28,Female,3000,283,0,13.79,0.0,1,Jan,9.43,0.0,-100.0,0.05
CAMP00019,2024-01-02 07:32:32.310462092,Paid Social,Low Value,Savings Account,61,Male,1000,70,0,4.0,0.0,1,Jan,7.0,0.0,-100.0,0.06
CAMP00020,2024-01-02 09:17:40.772154430,Email,New Customer,Insurance,45,Male,5000,977,0,2.8,0.0,1,Jan,19.54,0.0,-100.0,0.0
CAMP00021,2024-01-02 11:02:49.233846769,Paid Search,Low Value,Insurance,32,Female,3000,549,0,12.72,0.0,1,Jan,18.3,0.0,-100.0,0.02
CAMP00022,2024-01-02 12:47:57.695539107,Email,Low Value,Personal Loan,62,Male,4000,911,0,1.79,0.0,1,Jan,22.78,0.0,-100.0,0.0
CAMP00023,2024-01-02 14:33:06.157231446,Email,Churned,Personal Loan,22,Male,3000,813,0,1.5,0.0,1,Jan,27.1,0.0,-100.0,0.0
CAMP00024,2024-01-02 16:18:14.618923784,Paid Social,New Customer,Savings Account,53,Male,1000,75,0,3.6,0.0,1,Jan,7.5,0.0,-100.0,0.05
CAMP00025,2024-01-02 18:03:23.080616123,Paid Social,Churned,Investment Fund,61,Female,1000,72,0,3.93,0.0,1,Jan,7.2,0.0,-100.0,0.05
CAMP00026,2024-01-02 19:48:31.542308461,Display,Low Value,Personal Loan,23,Male,5000,200,0,6.56,0.0,1,Jan,4.0,0.0,-100.0,0.03
CAMP00027,2024-01-02 21:33:40.004000800,Email,Mid Value,Savings Account,36,Male,4000,648,0,2.29,0.0,1,Jan,16.2,0.0,-100.0,0.0
CAMP00028,2024-01-02 23:18:48.465693138,Paid Social,High Value,Credit Card,42,Male,5000,317,0,23.6,0.0,1,Jan,6.34,0.0,-100.0,0.07
CAMP00029,2024-01-03 01:03:56.927385477,Paid Search,New Customer,Insurance,45,Female,4000,499,0,13.11,0.0,1,Jan,12.48,0.0,-100.0,0.03
CAMP00030,2024-01-03 02:49:05.389077815,Email,High Value,Investment Fund,38,Male,4000,1047,0,2.26,0.0,1,Jan,26.17,0.0,-100.0,0.0
CAMP00031,2024-01-03 04:34:13.850770154,Paid Search,Mid Value,Savings Account,30,Female,5000,855,0,20.84,0.0,1,Jan,17.1,0.0,-100.0,0.02
CAMP00032,2024-01-03 06:19:22.312462492,Email,Low Value,Credit Card,56,Male,3000,538,0,1.67,0.0,1,Jan,17.93,0.0,-100.0,0.0
CAMP00033,2024-01-03 08:04:30.774154830,Email,Low Value,Insurance,41,Male,2000,381,0,1.12,0.0,1,Jan,19.05,0.0,-100.0,0.0
CAMP00034,2024-01-03 09:49:39.235847169,SMS,Low Value,Credit Card,40,Female,4000,911,0,3.19,0.0,1,Jan,22.78,0.0,-100.0,0.0
CAMP00035,2024-01-03 11:34:47.697539507,SMS,Mid Value,Savings Account,39,Female,1000,135,0,0.73,0.0,1,Jan,13.5,0.0,-100.0,0.01
CAMP00036,2024-01-03 13:19:56.159231846,Display,Mid Value,Personal Loan,41,Female,5000,205,0,5.14,0.0,1,Jan,4.1,0.0,-100.0,0.03
CAMP00037,2024-01-03 15:05:04.620924184,Paid Social,Low Value,Insurance,51,Female,3000,243,0,10.8,0.0,1,Jan,8.1,0.0,-100.0,0.04
CAMP00038,2024-01-03 16:50:13.082616523,Email,Churned,Credit Card,61,Female,4000,999,0,2.09,0.0,1,Jan,24.98,0.0,-100.0,0.0
CAMP00039,2024-01-03 18:35:21.544308861,Paid Search,New Customer,Personal Loan,22,Male,3000,385,0,10.84,0.0,1,Jan,12.83,0.0,-100.0,0.03
CAMP00040,2024-01-03 20:20:30.006001200,Paid Social,Churned,Investment Fund,45,Male,5000,504,0,20.97,0.0,1,Jan,10.08,0.0,-100.0,0.04
CAMP00041,2024-01-03 22:05:38.467693538,Email,New Customer,Savings Account,45,Female,1000,208,0,0.44,0.0,1,Jan,20.8,0.0,-100.0,0.0
CAMP00042,2024-01-03 23:50:46.929385877,Paid Social,Low Value,Savings Account,40,Male,4000,278,0,19.2,0.0,1,Jan,6.95,0.0,-100.0,0.07
